OUT_EX_X,OUT_EX_Y
5.010482384253208e-09,1.123922603075445
5.010908423625533e-09,1.111546351912851
5.011760502370183e-09,1.086894330508094
5.013464659859483e-09,1.038003794344575
5.016872974838082e-09,0.9419564392838772
5.02368960479528e-09,0.7574184159534081
5.032183525293869e-09,0.5436762826171234
5.037247505072587e-09,0.4266043172991225
5.042529918736932e-09,0.3168979025988169
5.046689715570395e-09,0.2426396180483973
5.050721513221702e-09,0.182625484757601
5.05543199924914e-09,0.1274690524694686
5.061300971827101e-09,0.07836089725273182
5.065914780370486e-09,0.05221370896606707
5.070263776156667e-09,0.0351588844993825
5.074741280254926e-09,0.02315667277579335
5.079466920679085e-09,0.01474585835171286
5.084616262966273e-09,0.00889861037592367
5.09038827060326e-09,0.004947444226988202
5.097003286451952e-09,0.002425900054880769
5.10476269721454e-09,0.000954654034284131
5.11411038466502e-09,0.0002110584676124582
5.125748304734831e-09,-6.92640993546278e-05
5.140967989714185e-09,-0.0001053712894399044
5.162055134810876e-09,-5.359798449679697e-05
5.194627288302908e-09,-5.24805714857457e-06
5.256077128308871e-09,1.067137102132441e-05
5.378976808320796e-09,7.116516136324426e-06
5.528976808320795e-09,4.762242763530516e-06
5.678976808320795e-09,4.599952760753009e-06
5.828976808320795e-09,4.656643166561256e-06
5.978976808320794e-09,4.6695780804832e-06
6.128976808320794e-09,4.669413481437097e-06
6.278976808320794e-09,4.668961540655709e-06
6.428976808320793e-09,4.668906909897873e-06
6.578976808320793e-09,4.668914670403248e-06
6.728976808320793e-09,4.668917518793044e-06
6.878976808320793e-09,4.66891763958139e-06
7.028976808320792e-09,4.668917560942586e-06
7.178976808320792e-09,4.668917546470624e-06
7.328976808320792e-09,4.668917547160137e-06
7.414488404160395e-09,4.668917547695496e-06
7.499999999999999e-09,4.66891754778554e-06
7.501249999999999e-09,-0.004407178777965185
7.5022762411431e-09,-0.007798704911999507
7.504328723429303e-09,-0.01146906371354251
7.50599846576732e-09,-0.008709515800086314
7.507551937120709e-09,0.0007276522709232123
7.508775968560353e-09,0.01370534320852739
7.509999999999999e-09,0.03148836607431551
7.510122960718707e-09,0.03388970880507885
7.510252758389326e-09,0.0364232240148447
7.510444650788673e-09,0.0401652698556168
7.510828435587366e-09,0.04763589319363348
7.511596005184753e-09,0.06252227225578841
7.513131144379527e-09,0.09207355148070479
7.516201422769073e-09,0.1502810954617291
7.522341979548167e-09,0.26304458552261
7.534623093106354e-09,0.473159782394083
7.54642336037674e-09,0.6537192523247873
7.555708616833487e-09,0.7787292328154506
7.563602436159184e-09,0.8709195823292128
7.571776705421075e-09,0.9510190394658019
7.581153238791749e-09,1.023468622538083
7.589624364421142e-09,1.072805319797992
7.596927451385562e-09,1.105023469229618
7.60425298065846e-09,1.129633232717538
7.611905968303602e-09,1.148888037913206
7.620172500382227e-09,1.164057879272369
7.629247240258096e-09,1.175774923396111
7.639116884299681e-09,1.184376509609501
7.650002375308003e-09,1.190489407255231
