OUT_X,OUT_Y
1.010476269721393e-08,0.0004957849294705517
1.011411038466414e-08,7.314145169478898e-05
1.012574830473354e-08,-6.489672675289544e-05
1.014096798971225e-08,-6.245354808648746e-05
1.016205513480779e-08,-2.176204613659903e-05
1.019462728829744e-08,7.166188939307402e-06
1.025607712829615e-08,1.405197849658147e-05
1.037897680829356e-08,1.108781100745654e-05
1.052897680829356e-08,9.865864336358137e-06
1.067897680829356e-08,9.832958698216417e-06
1.082897680829356e-08,9.867721381535838e-06
1.097897680829356e-08,9.873203847514203e-06
1.112897680829356e-08,9.872794700151906e-06
1.127897680829356e-08,9.872567724094562e-06
1.142897680829356e-08,9.872551822283843e-06
1.157897680829356e-08,9.872557030953454e-06
1.172897680829356e-08,9.872558202219608e-06
1.187897680829356e-08,9.872558185525968e-06
1.202897680829355e-08,9.872558146053047e-06
1.217897680829355e-08,9.872558141552065e-06
1.232897680829355e-08,9.872558142235617e-06
1.241448840414678e-08,9.872558142448503e-06
1.25e-08,9.872558142472893e-06
1.250125e-08,-0.002904909214626276
1.25022762411431e-08,-0.005045950667551292
1.25043287234293e-08,-0.00537492769598617
1.250599846576732e-08,0.001194863269747261
1.250755193712071e-08,0.01515842045082396
1.250877596856035e-08,0.03231162741465891
1.251e-08,0.05458004441177908
1.251012296071871e-08,0.05728476416371504
1.251025275838933e-08,0.06013818409084184
1.251044465078867e-08,0.06435232677081473
1.251082843558737e-08,0.07276390649360889
1.251159600518475e-08,0.08951908759729404
1.251313114437953e-08,0.1227549553458624
1.251620142276907e-08,0.1881133818894108
1.252234197954817e-08,0.3142390886940684
1.253462309310635e-08,0.5464783183166283
1.254642336037674e-08,0.7400979763097807
1.255570861683349e-08,0.8672235255597773
1.256360243615918e-08,0.9550638750718471
1.257177670542107e-08,1.026012082694922
1.258115323879175e-08,1.085394043960704
1.258962436442114e-08,1.122832894092911
1.259692745138556e-08,1.145608657034914
1.260425298065846e-08,1.16192625200347
1.26119059683036e-08,1.173919524262234
1.262017250038222e-08,1.182788163403418
1.262924724025809e-08,1.189196414848096
1.263911688429968e-08,1.193573313187355
1.2650002375308e-08,1.196445711738941
1.266220524707832e-08,1.198231790315671
1.267614440493921e-08,1.199259548786493
1.269243417429137e-08,1.199784488546451
1.270678017952823e-08,1.1999505691163
1.272993191065138e-08,1.200027487915369
1.275669362770326e-08,1.20002755730935
1.279381781839368e-08,1.200007924895731
1.285312225638069e-08,1.199992440034998
1.29528745418925e-08,1.199988385476125
1.31028745418925e-08,1.199989636062931
1.32528745418925e-08,1.199990360594113
1.340287454189249e-08,1.199990455500802
1.355287454189249e-08,1.199990435632526
1.370287454189249e-08,1.19999042558735
1.385287454189249e-08,1.199990424417249
1.400287454189249e-08,1.199990424726288
1.415287454189249e-08,1.199990424864901
1.430287454189249e-08,1.199990424879038
1.445287454189249e-08,1.199990424874311
1.460287454189249e-08,1.199990424872407
1.475287454189249e-08,1.199990424872241
1.487643727094625e-08,1.199990424872311
1.5e-08,1.199990424872337
