VEX_PLUS_X,VEX_PLUS_Y
1.262924724025809e-08,-1.062223263235682e-05
1.263911688429968e-08,-6.892916806452708e-06
1.2650002375308e-08,-4.21492857629391e-06
1.266220524707832e-08,-2.377342245855446e-06
1.267614440493921e-08,-1.19000442097885e-06
1.269243417429137e-08,-4.886922175608665e-07
1.270678017952823e-08,-2.071682604327943e-07
1.272993191065138e-08,-2.352494921370238e-08
1.275669362770326e-08,2.689002792094236e-08
1.279381781839368e-08,2.375964950010566e-08
1.285312225638069e-08,5.312415170330846e-09
1.29528745418925e-08,-5.730749322857424e-09
1.31028745418925e-08,-6.706598493873187e-09
1.32528745418925e-08,-5.693650080969083e-09
1.340287454189249e-08,-5.372282480983984e-09
1.355287454189249e-08,-5.35486283920537e-09
1.370287454189249e-08,-5.370950835744873e-09
1.385287454189249e-08,-5.376177689141132e-09
1.400287454189249e-08,-5.376485746869431e-09
1.415287454189249e-08,-5.376230410120057e-09
1.430287454189249e-08,-5.376145434366474e-09
1.445287454189249e-08,-5.376140028904592e-09
1.460287454189249e-08,-5.37614407845376e-09
1.475287454189249e-08,-5.376145459423837e-09
1.487643727094625e-08,-5.37614554231837e-09
1.5e-08,-5.376145489819588e-09
