VSCHEM_PLUS_X,VSCHEM_PLUS_Y
7.629247240258096e-09,-5.340437756428809e-06
7.639116884299681e-09,-3.186888207367534e-06
7.650002375308003e-09,-1.766753577039681e-06
7.662205247078328e-09,-8.808108802326762e-07
7.676144404939221e-09,-3.699267866548326e-07
7.692434174291375e-09,-1.091063185645426e-07
7.706780179528228e-09,-2.664867860229399e-08
7.729931910651375e-09,1.153677609927781e-08
7.756693627703254e-09,1.157122632709483e-08
7.793817818393699e-09,1.824831741101737e-09
7.853122256380651e-09,-5.862534965327069e-09
7.952874541892532e-09,-7.875396522663487e-09
8.102874541892532e-09,-7.254550165540609e-09
8.252874541892532e-09,-6.89486098368516e-09
8.402874541892531e-09,-6.84774512458005e-09
8.552874541892531e-09,-6.857608611366424e-09
8.702874541892531e-09,-6.862595479021891e-09
8.85287454189253e-09,-6.863176368547858e-09
9.00287454189253e-09,-6.86302294813651e-09
9.15287454189253e-09,-6.862954134667235e-09
9.302874541892529e-09,-6.862947116447557e-09
9.452874541892529e-09,-6.862949463325211e-09
9.602874541892529e-09,-6.862950408378419e-09
9.752874541892528e-09,-6.862950490967072e-09
9.876437270946264e-09,-6.862950456151717e-09
1e-08,-6.86295044282982e-09
1.000125e-08,2.67491156218841e-05
1.00022762411431e-08,2.73245415684366e-05
1.00043287234293e-08,2.412113567408561e-05
1.000577937446239e-08,1.894889604322064e-05
1.000710419834334e-08,1.433853868229432e-05
1.000855568700692e-08,1.234026464901802e-05
1.001e-08,8.589424442303161e-06
1.001012982423626e-08,-6.359006002268725e-06
1.001026936456704e-08,-6.314310418519249e-06
1.001048238425321e-08,-6.265133300154371e-06
1.001090842362553e-08,-6.17021118775486e-06
1.001176050237018e-08,-5.990688182836795e-06
1.001346465985948e-08,-5.666617939431873e-06
1.001687297483808e-08,-5.123575330876509e-06
1.002368960479528e-08,-4.29953388019699e-06
1.003218352529387e-08,-3.552612988667092e-06
1.003724750507261e-08,-3.153173496021675e-06
1.004252991873698e-08,-2.559640851472091e-06
1.004668971557046e-08,-2.047469048156913e-06
1.005072151322174e-08,-1.579357543184552e-06
1.0055431999249e-08,-1.116904735299337e-06
1.006130097182702e-08,-6.853078676487857e-07
1.006591478037043e-08,-4.537627554380924e-07
1.007026377615661e-08,-3.026309184994816e-07
1.007474128025487e-08,-1.97447629917858e-07
1.007946692067898e-08,-1.252286791124691e-07
1.00846162629661e-08,-7.630047735818974e-08
1.009038827060299e-08,-4.424162704154533e-08
1.009700328645154e-08,-2.454177810504779e-08
1.010476269721393e-08,-1.360253822857471e-08
1.011411038466414e-08,-8.505738219881348e-09
1.012574830473354e-08,-6.846164453055012e-09
1.014096798971225e-08,-6.798723247983358e-09
1.016205513480779e-08,-7.312441531034428e-09
1.019462728829744e-08,-7.658423430588377e-09
1.025607712829615e-08,-7.741783041132427e-09
1.037897680829356e-08,-7.705898725263162e-09
1.052897680829356e-08,-7.691105795889106e-09
1.067897680829356e-08,-7.690707439076401e-09
1.082897680829356e-08,-7.691128277343068e-09
1.097897680829356e-08,-7.691194648268712e-09
1.112897680829356e-08,-7.691189695116139e-09
1.127897680829356e-08,-7.691186947336313e-09
1.142897680829356e-08,-7.691186754829127e-09
1.157897680829356e-08,-7.691186817884556e-09
1.172897680829356e-08,-7.691186832064757e-09
1.187897680829356e-08,-7.691186831861972e-09
1.202897680829355e-08,-7.691186831384636e-09
1.217897680829355e-08,-7.691186831329835e-09
1.232897680829355e-08,-7.691186831337477e-09
1.241448840414678e-08,-7.691186831340799e-09
1.25e-08,-7.691186831341757e-09
1.250125e-08,-1.808690219921866e-05
1.25022762411431e-08,-2.813020084355635e-05
1.25043287234293e-08,-7.237265689693712e-05
1.250599846576732e-08,-0.0001228717016295424
1.250755193712071e-08,-0.0001756437703289469
1.250877596856035e-08,-0.0002189434453061002
1.251e-08,-0.0002623093247001653
1.251012296071871e-08,-0.0002273711222680712
1.251025275838933e-08,-0.0002271573285742055
1.251044465078867e-08,-0.0002268430848748396
1.251082843558737e-08,-0.0002262137095307324
1.251159600518475e-08,-0.0002249518159925779
1.251313114437953e-08,-0.0002224146875180263
1.251620142276907e-08,-0.00021727991435585
1.252234197954817e-08,-0.0002067010536864393
1.253462309310635e-08,-0.0001835303863132163
1.254642336037674e-08,-0.0001561713992618134
1.255570861683349e-08,-0.0001285013132263483
1.256360243615918e-08,-0.0001024249150074105
1.257177670542107e-08,-7.673816488951469e-05
1.258115323879175e-08,-5.259919560273615e-05
1.258962436442114e-08,-3.639741854770962e-05
1.259692745138556e-08,-2.608857720226217e-05
1.260425298065846e-08,-1.847276662588046e-05
1.26119059683036e-08,-1.275759942792345e-05
1.262017250038222e-08,-8.470451278673818e-06
1.262924724025809e-08,-5.340437756430194e-06
1.263911688429968e-08,-3.186888207367891e-06
1.2650002375308e-08,-1.76675357704e-06
1.266220524707832e-08,-8.808108802332123e-07
1.267614440493921e-08,-3.699267866554088e-07
1.269243417429137e-08,-1.091063185646425e-07
1.270678017952823e-08,-2.664867860239984e-08
1.272993191065138e-08,1.153677609946283e-08
1.275669362770326e-08,1.157122632716223e-08
1.279381781839368e-08,1.824831741073586e-09
1.285312225638069e-08,-5.862534965430201e-09
1.29528745418925e-08,-7.875396522702212e-09
1.31028745418925e-08,-7.254550165502045e-09
1.32528745418925e-08,-6.894860983698601e-09
1.340287454189249e-08,-6.847745124553006e-09
1.355287454189249e-08,-6.857608611366416e-09
1.370287454189249e-08,-6.862595478999186e-09
1.385287454189249e-08,-6.86317636854785e-09
1.400287454189249e-08,-6.863022948136502e-09
1.415287454189249e-08,-6.86295413466723e-09
1.430287454189249e-08,-6.862947116447552e-09
1.445287454189249e-08,-6.862949463302503e-09
1.460287454189249e-08,-6.862950408378414e-09
1.475287454189249e-08,-6.862950490944365e-09
1.487643727094625e-08,-6.862950456131745e-09
1.5e-08,-6.862950442820552e-09
